Brand,Price,Mileage,Model
BMW,4200,277,320
Mercedes-Benz,7900,427,Sprinter 212
Mercedes-Benz,13300,358,S 500
Audi,23000,240,Q7
Toyota,18300,120,Rav 4
Audi,14200,200,A6
Renault,10799,193,Megane
Volkswagen,1400,212,Golf IV
Renault,11950,177,Megane
Renault,2500,260,19
Audi,9500,165,A6 Allroad
Volkswagen,10500,100,Passat B6
Toyota,16000,250,Land Cruiser 100
Renault,8600,84,Clio
BMW,2990,203,318
Toyota,26500,21,Rav 4
Audi,3500,250,A6
Toyota,38233,0,Hilux
Volkswagen,7500,132,Polo
Audi,6800,225,A6
Mitsubishi,10500,130,Outlander
Audi,24900,163,A8
Volkswagen,20800,151,Touareg
Audi,6500,330,A6
Mercedes-Benz,13566,171,Vito
Mitsubishi,8500,65,Colt
Audi,2900,1,100
BMW,21500,72,Z4
Mitsubishi,17900,87,Pajero Wagon
BMW,28500,160,X5
Volkswagen,9800,160,Caddy
Toyota,14500,147,Camry
BMW,6000,300,528
BMW,67500,1,X5
Audi,33900,14,TT
Mercedes-Benz,9800,230,Vito
Mercedes-Benz,63000,86,G 55 AMG
BMW,7700,326,528
Mercedes-Benz,9600,30,Vito
Toyota,12800,181,Camry
BMW,41000,80,X6
BMW,3700,231,525
Mercedes-Benz,29500,134,S 500
BMW,6500,335,528
Renault,8250,66,Kangoo
Mercedes-Benz,19500,172,ML 350
Mercedes-Benz,13500,317,S 500
Mercedes-Benz,9200,266,Vito
Volkswagen,5000,265,Passat B6
BMW,23900,162,X5
BMW,36900,81,730
BMW,8900,253,318
Renault,7800,200,Trafic
BMW,1650,270,318
Mercedes-Benz,50000,240,S 350
Renault,9700,245,Trafic
Mercedes-Benz,9999,127,Vito
Audi,69999,21,A6 Allroad
Mitsubishi,6500,152,Lancer
Audi,4300,267,A6
Audi,3000,267,A6
Mercedes-Benz,8700,240,E-Class
Renault,9000,178,Scenic
Mercedes-Benz,20400,190,E-Class
BMW,9000,175,330
Mercedes-Benz,13400,105,E-Class
Volkswagen,3700,195,Passat B5
Volkswagen,9850,126,Caddy
Audi,3700,420,A3
Toyota,15700,195,Land Cruiser Prado
Mercedes-Benz,24500,180,E-Class
Mitsubishi,7500,195,Lancer
Volkswagen,11990,231,Caravelle
Volkswagen,13708.5,51,Polo
BMW,8200,287,525
Renault,6999,222,Kangoo
Renault,6750,214,Megane
Audi,18500,245,A8
Toyota,14299,83,Avensis
Mercedes-Benz,28500,210,GL 320
Mitsubishi,17000,89,Pajero Wagon
Mercedes-Benz,25700,130,GL 450
Audi,2650,333,A6
Mitsubishi,8500,116,Lancer X
Mercedes-Benz,4000,405,200
Renault,11000,131,Kangoo
Mercedes-Benz,14500,138,E-Class
BMW,4099,50,520
Volkswagen,31500,1,Tiguan
Renault,4500,207,Kangoo
Volkswagen,6700,207,Caddy
Mitsubishi,20800,31,Outlander XL
Mercedes-Benz,107999,0,GLS 350
BMW,3500,334,320
Audi,39000,18,A5
Toyota,13500,150,Land Cruiser 100
Mitsubishi,6150,175,Lancer
BMW,45500,76,X6 M
BMW,4900,295,520
BMW,47000,5,Z4
Toyota,19200,190,Land Cruiser Prado
Mitsubishi,11100,119,Outlander
Mitsubishi,8200,139,Lancer X
Volkswagen,10300,235,Passat B6
Renault,11990,210,Scenic
BMW,46800,33,520
Volkswagen,1500,260,Golf III
BMW,6350,156,X5
Mercedes-Benz,8900,155,A 150
Mercedes-Benz,12700,160,Vito
Mitsubishi,8000,207,Lancer
Toyota,29500,63,FJ Cruiser
Renault,7100,208,Kangoo
Renault,10850,103,Koleos
Volkswagen,27000,57,Passat B7
Volkswagen,18100,64,Scirocco
BMW,27000,137,M5
BMW,8990,300,320
Toyota,32900,82,Venza
BMW,25500,163,X5
Toyota,8900,153,Rav 4
Audi,11950,190,A6
Mercedes-Benz,22700,125,E-Class
BMW,13000,165,520
Audi,25000,60,A5
Toyota,26900,119,Land Cruiser Prado
Mercedes-Benz,87777,0,V 250
Volkswagen,6000,200,Caddy
Audi,9800,257,A6
Audi,13900,197,A6
Renault,12200,164,Trafic
Mercedes-Benz,13500,205,ML 270
BMW,18100,200,X5
BMW,33000,200,X5
Volkswagen,16900,145,Tiguan
Mercedes-Benz,22000,110,C-Class
Volkswagen,10700,195,Passat B6
Mercedes-Benz,7800,226,E-Class
Mercedes-Benz,17300,184,E-Class
BMW,70000,16,730
Volkswagen,2200,118,Lupo
BMW,8900,256,5 Series
Mercedes-Benz,31600,33,CLA 200
Volkswagen,7900,168,T5 (Transporter)
Toyota,28500,97,Highlander
Renault,6900,140,Kangoo
BMW,8850,280,525
Renault,3100,164,Kangoo
BMW,8900,250,525
Renault,6100,130,Megane
BMW,1400,260,318
Volkswagen,8800,93,Caddy
Renault,10299,176,Trafic
Renault,6500,170,Megane
Toyota,9100,151,Corolla
Volkswagen,9950,95,Polo
Toyota,24500,260,Land Cruiser 100
Audi,51500,27,Q7
Volkswagen,12900,290,T5 (Transporter)
Mercedes-Benz,8000,250,Vito
Mitsubishi,8100,112,Galant
Renault,10100,164,Trafic
BMW,1900,300,5 Series
Renault,10800,187,Trafic
Audi,8000,234,A8
Mercedes-Benz,15300,120,CLK 240
Volkswagen,2350,182,Golf IV
BMW,38888,5,I3
Toyota,99999,0,Land Cruiser 200
Volkswagen,17650,110,Passat B7
Volkswagen,12999,237,Multivan
Mercedes-Benz,18500,90,C-Class
Volkswagen,9200,195,Passat B6
Volkswagen,14500,1,Polo
Volkswagen,18000,18,Passat B7
Mercedes-Benz,6800,250,Vaneo
BMW,20500,73,X1
BMW,28000,100,M5
Volkswagen,10650,130,T5 (Transporter) 
Volkswagen,20300,30,Scirocco
Volkswagen,3000,267,Passat B5
Toyota,25250,112,Land Cruiser 100
Mitsubishi,1389,245,Colt
Mercedes-Benz,17600,174,S 400
Mercedes-Benz,14200,180,Vito
BMW,13700,270,X5
Mercedes-Benz,23900,187,S 550
Volkswagen,32000,144,Passat CC
BMW,4599,267,520
Volkswagen,2350,300,Passat B5
Audi,19999,160,A4 Allroad
BMW,28900,78,528
Volkswagen,3800,300,Passat B4
Volkswagen,1800,300,Golf II
Volkswagen,9700,201,Passat B6
Mitsubishi,25342.2,1,L 200
Volkswagen,24900,1,Jetta
Renault,4999,140,Logan
BMW,4700,390,525
Mercedes-Benz,4999,1,E-Class
Mercedes-Benz,9299,350,E-Class
Mercedes-Benz,25000,130,S 550
Mitsubishi,12900,148,Pajero Sport
Audi,9700,189,A6
Renault,10100,64,Trafic
BMW,2800,296,730
Mercedes-Benz,13500,350,Sprinter 312
Mitsubishi,8900,125,Lancer X Sportback
Mercedes-Benz,109999,0,GLS 350
Mercedes-Benz,11500,180,E-Class
BMW,36900,82,X6
Toyota,33200,150,Land Cruiser Prado
Volkswagen,10200,253,T5 (Transporter)
Volkswagen,16999,0,Jetta
Toyota,10800,179,Camry
Mercedes-Benz,35500,99,E-Class
Volkswagen,9900,156,Golf Plus
Renault,7900,91,Scenic
Mercedes-Benz,13900,216,E-Class
Volkswagen,20000,102,Passat CC
Toyota,28500,38,Rav 4
Mitsubishi,7200,178,Lancer
Mitsubishi,9000,200,Outlander
Audi,36500,115,Q7
Volkswagen,8000,41,Up
Audi,43000,11,A6
Toyota,13700,48,Corolla
Toyota,7899,165,Avensis
Renault,13999,180,Trafic
Volkswagen,10500,176,Caddy
Volkswagen,20800,160,Amarok
Mercedes-Benz,32000,176,G 320
Mercedes-Benz,14500,220,S 500
Toyota,16900,20,Auris
Mercedes-Benz,13600,172,Vito
Audi,2600,273,A6
BMW,12000,237,530
Volkswagen,18800,106,Passat B7
Toyota,35500,85,Land Cruiser Prado
Mercedes-Benz,29900,71,CL 500
Renault,6750,110,Kangoo
BMW,34900,117,X5
Volkswagen,7700,177,T5 (Transporter) 
Renault,9250,220,Megane
Renault,8400,84,Kangoo
Toyota,11750,93,Corolla
Mercedes-Benz,5800,368,Vito
Toyota,5900,180,Land Cruiser Prado
BMW,44999,87,X6
Volkswagen,10500,170,Caddy
Mercedes-Benz,17900,190,E-Class
Audi,9999,190,A6
Audi,9999,190,A6
Volkswagen,61000,2,Touareg
Toyota,38300,130,Land Cruiser 200
Toyota,17700,30,Corolla
Volkswagen,55555,50,Multivan
BMW,18000,280,X5
Renault,7600,125,Kangoo
Renault,6900,68,Logan
Renault,15635.1,0,Dokker
Renault,10550,195,Trafic
Volkswagen,12500,190,T5 (Transporter)
Audi,13000,157,A6
BMW,7400,285,540
Renault,9500,100,Megane
Audi,18800,197,Q7
Toyota,8000,176,Camry
Volkswagen,8700,250,Passat B5
Mercedes-Benz,9999,300,ML 320
Volkswagen,16700,175,Passat CC
Toyota,13900,90,Auris
Volkswagen,18700,145,T5 (Transporter) 
Mitsubishi,6200,152,Lancer
Renault,3600,22,Kangoo
Renault,7500,98,Kangoo
Renault,2300,200,Kangoo
Volkswagen,16900,133,Touareg
Mitsubishi,13499,116,Outlander XL
Renault,5700,180,Kangoo
Mitsubishi,17900,140,Pajero Wagon
Volkswagen,13900,170,Multivan
Audi,7950,167,A6
BMW,9700,250,318
Volkswagen,7500,240,Passat B5
Audi,19999,117,Q7
BMW,9100,230,318
Volkswagen,13300,73,Golf VI
Volkswagen,21000,22,Golf VII
Audi,6600,360,A6
Audi,7600,226,A6
Mercedes-Benz,3500,258,A 170
Volkswagen,3500,3,Passat B3
Mercedes-Benz,17900,167,Vito
Renault,1950,286,Laguna
Volkswagen,7990,90,New Beetle
Volkswagen,6500,320,Passat B5
Mitsubishi,3500,300,Galant
Toyota,14100,113,Camry
Toyota,2999,300,Corolla
BMW,66900,70,X5
Toyota,13100,200,Camry
Volkswagen,6900,300,Passat B5
Volkswagen,23999,80,Passat B7
Mitsubishi,6990,225,Pajero
Toyota,13999,198,Camry
Renault,7600,108,Kangoo
Renault,11100,180,Megane
Mercedes-Benz,16500,260,Sprinter 319
Mercedes-Benz,44000,82,S 500
Audi,39900,12,A5
Mercedes-Benz,20500,173,E-Class
BMW,8000,214,X5
BMW,11600,142,320
Renault,11500,170,Megane
Volkswagen,13700,103,Passat B6
Mercedes-Benz,13700,198,Viano
Renault,7700,200,Megane
Mercedes-Benz,5800,231,E-Class
Volkswagen,9500,95,Passat B6
Mercedes-Benz,24900,140,S 550
Volkswagen,55500,47,Touareg
Volkswagen,6500,186,Sharan
Mercedes-Benz,8300,175,E-Class
Mitsubishi,12000,130,Pajero Sport
Mercedes-Benz,15000,185,ML 350
BMW,8100,246,530
Renault,8000,175,Megane
Mercedes-Benz,5500,285,Vito
Renault,9600,184,Megane
BMW,10800,180,318
Mercedes-Benz,10999,263,Vito
BMW,44000,80,X5
Toyota,19200,54,Prius
Mercedes-Benz,19600,127,B 180
Volkswagen,9000,135,Polo
BMW,10900,245,530
Volkswagen,12900,180,T5 (Transporter) 
BMW,6600,285,525
Renault,15820.35,0,Fluence
Toyota,10200,180,Camry
Mercedes-Benz,6000,366,E-Class
Audi,3500,1,90
Volkswagen,7800,380,T4 (Transporter)
Toyota,35900,84,Land Cruiser Prado
Renault,11700,90,Duster
Volkswagen,15200,58,Tiguan
Mercedes-Benz,2500,111,E-Class
Volkswagen,16800,164,T5 (Transporter)
BMW,50499,128,730
BMW,2250,300,523
Mercedes-Benz,9300,270,E-Class
Toyota,11500,161,Hiace
BMW,13000,304,745
Mercedes-Benz,7500,319,S 320
Mercedes-Benz,17999,38,CLC 200
Renault,7300,162,Megane
Toyota,29900,117,Land Cruiser Prado
Renault,4950,170,Kangoo
Audi,36000,40,Q7
Audi,1700,177,A4
Audi,12450,1,A4
Volkswagen,13893.75,0,Polo
Volkswagen,44600,60,Touareg
Toyota,35138.29,0,Rav 4
BMW,3500,313,325
Mercedes-Benz,12800,260,Sprinter 316
Volkswagen,27000,85,Passat CC
Volkswagen,14800,143,Passat B6
Renault,2200,155,Scenic
Volkswagen,2900,433,T4 (Transporter)
Audi,12000,200,A8
Volkswagen,41000,180,Touareg
Audi,16300,180,A6 Allroad
Renault,5300,145,Kangoo
Mercedes-Benz,40500,39,E-Class
Mercedes-Benz,4300,300,Vito
Volkswagen,4000,137,Touareg
Volkswagen,9600,132,Golf V
Mitsubishi,18000,112,Pajero Wagon
Renault,11300,184,Megane
Volkswagen,4999,131,Polo
Mercedes-Benz,24999,112,C-Class
Toyota,23300,93,Venza
Toyota,14900,124,Fortuner
Audi,22800,184,A6
Mercedes-Benz,35500,137,E-Class
Volkswagen,15000,280,LT
Toyota,8650,132,Corolla
Mitsubishi,22400,96,Pajero Sport
Mitsubishi,10400,123,Lancer X
Audi,10500,198,A6 Allroad
Renault,11900,68,Duster
BMW,36900,17,520
BMW,24500,170,X5
Volkswagen,4700,400,T4 (Transporter)
Toyota,18100,30,Auris
Mercedes-Benz,115000,47,S 500
Mercedes-Benz,10900,217,E-Class
BMW,7000,280,530
Volkswagen,9999,161,Passat B6
Mitsubishi,12300,160,L 200
Volkswagen,67622.55,0,Touareg
Volkswagen,18900,45,Passat B7
Volkswagen,6999,248,Passat B5
Mercedes-Benz,10250,261,E-Class
Toyota,3500,286,Corolla
BMW,13500,250,X5
BMW,2450,328,525
Volkswagen,7500,180,T5 (Transporter) 
Volkswagen,4900,263,Passat B6
Mercedes-Benz,5000,248,E-Class
BMW,29900,235,X5
Renault,7000,110,Symbol
Mitsubishi,11800,1,Lancer X
Mercedes-Benz,16500,223,Vito
BMW,5300,147,320
Mercedes-Benz,7200,200,Vito
Volkswagen,8500,230,Caddy
BMW,39000,180,X5
Volkswagen,1850,270,Passat B5
Audi,36100,75,A7
Mitsubishi,3149.25,330,Galant
Renault,5800,159,Kangoo
BMW,6700,370,320
Renault,18988.13,0,Duster
Volkswagen,28660,0,Caddy
BMW,2999,210,320
BMW,64500,1,X5
Toyota,21500,135,Land Cruiser Prado
BMW,85555,10,640
Volkswagen,8650,108,Caddy
BMW,10600,1,530
Toyota,6900,109,Yaris
Mercedes-Benz,2900,248,CLK 200
Mercedes-Benz,12250,185,Vito
BMW,21700,101,X3
Mercedes-Benz,2000,320,E-Class
Audi,9900,284,A6
Mercedes-Benz,5850,240,Vito
Toyota,8200,204,Corolla
Renault,7300,200,Megane
Mitsubishi,8000,145,Lancer
Renault,6600,184,Kangoo
Mercedes-Benz,22500,164,E-Class
