,Make,Model,price,Doors,Riding Capacity,Overall Length (mm),Overall Width (mm),Overall Height (mm),Wheelbase (mm),Weight (kg),Maximum Power (kW),Displacement (cc),Bore (mm),Stroke (mm),Fuel Tank Equipment (L),year of launch,displacement-based class
0,TOYOTA,TOYOTA CAMRY,3298320,4,5,4885,1840,1445,2825,1540,131,2487,87.5,103.4,50,2018,mid-range
1,TOYOTA,TOYOTA CAMRY,3531600,4,5,4885,1840,1445,2825,1570,131,2487,87.5,103.4,50,2018,mid-range
2,TOYOTA,TOYOTA CAMRY,3672000,4,5,4910,1840,1445,2825,1570,131,2487,87.5,103.4,50,2018,mid-range
3,TOYOTA,TOYOTA CAMRY,4228200,4,5,4885,1840,1445,2825,1600,131,2487,87.5,103.4,50,2018,mid-range
4,TOYOTA,TOYOTA CAMRY,4341600,4,5,4910,1840,1445,2825,1600,131,2487,87.5,103.4,50,2018,mid-range
5,TOYOTA,TOYOTA CAMRY,3294000,4,5,4885,1840,1445,2825,1540,131,2487,87.5,103.4,50,2017,mid-range
6,TOYOTA,TOYOTA CAMRY,3499200,4,5,4885,1840,1445,2825,1570,131,2487,87.5,103.4,50,2017,mid-range
7,TOYOTA,TOYOTA CAMRY,4195800,4,5,4885,1840,1445,2825,1600,131,2487,87.5,103.4,50,2017,mid-range
8,TOYOTA,TOYOTA CAMRY,3221345,4,5,4850,1825,1470,2775,1540,118,2493,90,98,65,2015,mid-range
9,TOYOTA,TOYOTA CAMRY,3427527,4,5,4850,1825,1470,2775,1540,118,2493,90,98,65,2015,mid-range
10,TOYOTA,TOYOTA CAMRY,3591491,4,5,4850,1825,1470,2775,1540,118,2493,90,98,65,2015,mid-range
11,TOYOTA,TOYOTA CAMRY,4028400,4,5,4850,1825,1470,2775,1550,118,2493,90,98,65,2015,mid-range
12,TOYOTA,TOYOTA CAMRY,3207600,4,5,4850,1825,1470,2775,1540,118,2493,90,98,65,2015,mid-range
13,TOYOTA,TOYOTA CAMRY,3413782,4,5,4850,1825,1470,2775,1540,118,2493,90,98,65,2015,mid-range
14,TOYOTA,TOYOTA CAMRY,3577745,4,5,4850,1825,1470,2775,1540,118,2493,90,98,65,2015,mid-range
